avg,cards,merchants,txs,category_id,zipcode_id,date
29.07009,17781,824,28705,3,199,201504
79.59533,619,61,659,16,199,201504
23.91751,2832,136,5089,7,199,201504
65.23455,0,0,3249,1,199,201504
23.42228,2869,136,5200,7,199,201505
51.02022,2957,176,3743,13,199,201505
29.75199,18443,838,30500,3,199,201505
8.93637,2498,45,3137,17,199,201505
126.40792,1051,121,1185,10,199,201505
47.2468,2556,127,3435,8,199,201505
47.56274,4317,211,5271,19,199,201505
52.61162,1191,92,1387,9,199,201505
28.23977,1748,97,2041,5,199,201505
69.51078,9115,464,11676,6,199,201505
237.08568,113,16,264,18,199,201505
72.51196,614,63,663,16,199,201505
51.70693,1157,27,1258,15,199,201505
66.34503,0,0,3746,1,199,201505
73.79431,170,12,195,2,199,201506
60.6016,9974,454,13265,6,199,201506
22.89993,2875,134,5250,7,199,201506
9.34237,2583,42,3163,17,199,201506
47.74962,4299,220,5240,19,199,201506
49.04882,2529,134,3380,8,199,201506
233.23541,126,16,377,18,199,201506
72.16756,576,61,618,16,199,201506
58.01276,1081,94,1219,9,199,201506
48.78427,1297,26,1397,15,199,201506
115.99881,1033,122,1175,10,199,201506
29.14361,2008,91,2277,5,199,201506
28.2251,18259,827,30272,3,199,201506
47.75074,3174,177,4021,13,199,201506
60.64831,0,0,3438,1,199,201506
49.00191,3083,169,3929,13,199,201507
49.43023,2374,130,3176,8,199,201507
51.0717,4152,218,5074,19,199,201507
32.8783,1376,82,1528,5,199,201507
28.10544,17768,824,29813,3,199,201507
470.7126,97,14,215,18,199,201507
85.48242,573,67,620,16,199,201507
59.72141,971,90,1132,9,199,201507
22.42804,2524,124,4547,7,199,201507
65.8756,202,12,248,2,199,201507
45.45226,1351,24,1471,15,199,201507
95.56759,957,127,1082,10,199,201507
9.50602,2346,45,2891,17,199,201507
54.9596,10770,452,14823,6,199,201507
86.0181,0,0,3028,1,199,201507
107.13519,689,104,772,10,199,201508
606.43191,62,13,89,18,199,201508
39.81308,2261,145,2852,13,199,201508
9.60054,1716,41,2010,17,199,201508
52.60573,6401,371,8024,6,199,201508
35.85777,1657,110,2167,8,199,201508
27.25513,13573,744,20998,3,199,201508
23.0559,2158,112,3678,7,199,201508
67.61446,143,12,193,2,199,201508
47.03746,751,81,846,9,199,201508
48.53418,1017,25,1101,15,199,201508
43.70844,3201,202,3774,19,199,201508
40.45509,1010,78,1124,5,199,201508
84.82254,403,61,433,16,199,201508
76.19116,0,0,2500,1,199,201508
61.43288,3196,176,4082,13,199,201509
40.36243,1806,90,2130,5,199,201509
47.3122,4225,219,5036,19,199,201509
23.55705,2872,138,5164,7,199,201509
28.11346,18857,836,31252,3,199,201509
70.71243,7493,415,9489,6,199,201509
266.31639,102,17,249,18,199,201509
48.70242,1183,89,1382,9,199,201509
9.53698,2675,46,3201,17,199,201509
78.56758,552,63,616,16,199,201509
132.93997,1043,132,1169,10,199,201509
45.54165,2458,135,3234,8,199,201509
57.2092,1209,24,1319,15,199,201509
75.10312,163,12,192,2,199,201509
85.57291,0,0,3474,1,199,201509
83.18635,542,64,622,16,199,201510
9.53862,3181,49,3871,17,199,201510
53.02097,1253,26,1350,15,199,201510
23.92638,3307,140,5877,7,199,201510
48.06515,2534,135,3336,8,199,201510
129.46318,1239,129,1405,10,199,201510
51.7482,1377,89,1632,9,199,201510
46.26206,3560,187,4501,13,199,201510
28.98559,21843,880,36549,3,199,201510
69.62539,196,11,230,2,199,201510
259.34572,99,13,236,18,199,201510
43.94771,4809,227,5805,19,199,201510
75.75417,9259,425,11675,6,199,201510
35.28422,2073,94,2367,5,199,201510
88.45826,0,0,3987,1,199,201510
28.68448,21892,877,36731,3,199,201511
186.03533,68,14,225,18,199,201511
44.03492,3522,181,4508,13,199,201511
88.18205,542,63,610,16,199,201511
57.88536,1405,93,1630,9,199,201511
25.44496,3291,142,5952,7,199,201511
44.3688,5115,229,6208,19,199,201511
9.84933,3109,51,3799,17,199,201511
120.25307,1190,126,1381,10,199,201511
39.21123,1774,92,2033,5,199,201511
59.4372,1182,25,1286,15,199,201511
45.54903,2459,142,3259,8,199,201511
73.92088,8887,434,11102,6,199,201511
74.44169,195,10,225,2,199,201511
87.95608,0,0,3968,1,199,201511
10.44618,3135,52,3684,17,199,201512
276.3862,77,13,150,18,199,201512
137.66292,1104,118,1219,10,199,201512
103.99427,777,68,862,16,199,201512
48.52297,2389,137,3114,8,199,201512
45.08063,6162,227,7488,19,199,201512
39.17144,2506,95,2856,5,199,201512
63.69447,1597,27,1722,15,199,201512
27.97921,3654,147,6095,7,199,201512
30.91805,22969,881,37121,3,199,201512
52.15335,1664,96,1908,9,199,201512
69.30634,11036,454,14205,6,199,201512
44.08978,4829,190,6056,13,199,201512
68.3949,217,14,243,2,199,201512
78.03665,0,0,4120,1,199,201512
34.09228,4969,85,11468,7,1,201501
43.43775,5772,440,7758,3,1,201501
54.84771,1202,91,1372,6,1,201501
114.71044,879,40,974,15,1,201501
218.53442,126,23,129,2,1,201501
145.75904,388,35,415,16,1,201501
47.49821,2142,9,4806,11,1,201501
27.65732,1714,138,1934,17,1,201501
43.12801,2125,135,2870,8,1,201501
48.04224,1274,108,1596,19,1,201501
58.73168,4293,118,5174,13,1,201501
