origin_age_data_id,avg,cards,gender,merchants,txs
278,50.55932,20,F,34,44
278,60.8175,7,M,7,8
279,151.54222,11,F,13,18
279,50.09,0,filtered,0,2
280,17.962,3,F,5,5
280,23.01667,6,M,6,6
281,31.85871,19,F,25,31
281,65.05167,12,M,18,24
282,41.38879,32,F,44,66
282,36.74778,17,M,20,27
283,36.09451,27,F,40,51
283,68.38156,15,M,26,32
284,61.07414,23,F,39,58
284,73.05667,12,M,13,15
285,13.97333,3,F,5,6
285,13.48,0,filtered,0,1
286,32.31875,3,F,6,8
286,76.02,0,filtered,0,2
287,34.366,23,F,30,35
287,36.86,7,M,7,8
288,51.68034,22,F,22,29
288,34.52646,26,M,34,48
289,71.95472,30,F,44,53
289,34.41667,11,M,12,15
290,66.07348,15,F,20,23
290,83.92353,12,M,17,17
291,91.35933,8,F,10,15
291,223.31667,5,M,5,6
292,33.21,7,F,12,13
292,150.82667,0,filtered,0,3
293,47.93611,11,F,17,18
293,17.4075,9,M,9,12
294,174.45111,14,F,22,27
294,321.101,9,M,10,10
295,52.57571,19,F,30,42
295,68.87222,15,M,16,18
296,61.18077,9,F,11,13
296,50.472,5,M,5,5
297,102.305,3,F,4,4
297,39.0025,3,M,4,4
298,17.29833,5,F,5,6
298,31.567,3,M,7,10
299,44.57737,21,F,27,38
299,60.41037,18,M,24,27
300,43.94373,29,F,40,59
300,31.69259,12,M,25,27
301,67.98692,21,F,35,39
301,87.66522,18,M,17,23
302,41.0484,18,F,22,25
302,40.07125,6,M,6,8
303,108.787,9,F,10,10
303,89.9825,4,M,4,4
304,25.85333,5,F,5,6
304,14.26,0,filtered,0,1
305,20.41024,15,F,28,41
305,67.85833,8,M,15,18
306,36.66775,23,F,31,40
306,107.93067,13,M,13,15
307,137.44875,8,F,16,16
307,43.63818,7,M,8,11
308,159.85556,8,F,22,27
308,91.89,5,M,5,5
309,172.34889,6,F,9,9
309,54.784,5,M,5,5
310,33.47,3,F,3,4
310,24.71,0,filtered,0,1
311,45.10909,22,F,44,66
311,33.35455,14,M,26,33
312,40.30727,31,F,51,77
312,49.03214,18,M,23,28
313,79.87838,21,F,31,37
313,43.65,11,M,12,12
314,33.91,14,F,26,30
314,75.445,6,M,6,6
315,39.838,5,F,5,5
315,310.105,0,filtered,0,2
