id,avg,cards,age,merchants,txs,zipcode_id,date,origin_zipcode
311,41.19091,36,25-34,68,99,285,201501,28038
312,42.6339,49,35-44,69,105,285,201501,28038
313,71.00612,32,45-54,41,49,285,201501,28038
314,40.8325,20,55-64,31,36,285,201501,28038
315,117.05714,7,>=65,7,7,285,201501,28038
316,33.69196,1045,<=24,427,2107,285,201501,others
317,44.37879,4427,25-34,953,8974,285,201501,others
318,62.30387,4413,35-44,1034,7629,285,201501,others
319,72.38988,2859,45-54,919,4884,285,201501,others
320,91.40395,1777,55-64,728,2820,285,201501,others
321,105.28578,864,>=65,509,1292,285,201501,others
322,38.73015,29,<=24,37,64,285,201502,U
323,37.79254,62,25-34,118,201,285,201502,U
324,89.33373,66,35-44,133,204,285,201502,U
325,90.1,58,45-54,87,118,285,201502,U
326,118.59758,51,55-64,97,124,285,201502,U
327,165.90166,31,>=65,69,102,285,201502,U
328,118.19595,2634,Unknown,1011,5356,285,201502,U
329,27.08547,75,<=24,130,234,285,201502,28001
330,35.9171,349,25-34,437,1561,285,201502,28001
331,38.45294,357,35-44,456,1633,285,201502,28001
332,48.36576,289,45-54,411,1392,285,201502,28001
333,58.92821,302,55-64,415,1170,285,201502,28001
334,64.60242,302,>=65,317,961,285,201502,28001
335,37.17474,66,<=24,88,150,285,201502,28006
336,38.80048,275,25-34,309,856,285,201502,28006
337,43.12153,259,35-44,313,740,285,201502,28006
338,92.82167,193,45-54,227,449,285,201502,28006
339,66.2506,183,55-64,204,450,285,201502,28006
340,79.27287,171,>=65,171,359,285,201502,28006
341,42.0542,43,<=24,54,81,285,201502,28009
342,45.60423,212,25-34,205,459,285,201502,28009
343,50.70362,246,35-44,246,523,285,201502,28009
344,57.92356,200,45-54,212,509,285,201502,28009
345,54.32765,153,55-64,140,273,285,201502,28009
346,71.47114,151,>=65,144,264,285,201502,28009
347,29.2792,32,<=24,44,50,285,201502,28007
348,42.52456,187,25-34,191,382,285,201502,28007
349,47.55413,191,35-44,190,409,285,201502,28007
